lii,bii,t90
34.25,-35.31,  22.528
43.3,-49.91,  98.848
259.99,37.43,
175.28,-69.74,   1.792
275,44.61,   0.079
226.35,-4.19, 102.208
222.1,-12.67,
7.61,16.32,  16.192
241.6,21.03,   0.413
26.68,-18.12,
150.54,-74.75,
236.19,13.84,  26.752
150,-74.77,
24.44,-13.14,
343.02,39.94, 108.544
353.04,33.09,
155.16,-73.76,   0.422
8.06,16.8,  18.368
4.22,22.04,  47.232
29.45,-22.55,
354.53,32.23,   2.240
216.84,-21.61,  19.808
14.35,7.21,  16.448
55.71,-60.16,
276.96,46.24, 146.944
141.63,-75.1,   0.384
289.69,49.1,  18.240
182.24,-65.07,
60.76,-63.44,   3.072
283.95,48.15,  44.384
312.61,49.61,   1.472
18.54,0.16,  65.792
209,-35.92,  75.904
355.98,31.57,
327.83,47.06,   0.353
347.22,38.45,  85.440
26.82,-15.77,
7.39,18.93,  60.224
236.16,15.75,  33.280
89.04,-72.52,   8.640
220.45,-12.54, 130.112
204.93,-41.56, 145.664
58.4,-60.64,
344.44,40.61,
223.8,-5.28,   0.455
260.19,39.96,  11.328
233.43,12.24,  28.352
203.17,-43.8,   2.063
44.97,-46.76,
215.21,-22.17,
5.05,23.09, 292.736
189.85,-58.21,   3.904
38.66,-37.03,   0.773
347.58,39.24,  52.992
17.45,4.54,
206.53,-37.71,  40.768
192.29,-55.44,
70.53,-66.05, 218.880
234.25,14.86,  13.984
232.66,12.65,
309.79,51.52, 673.824
15,10.01,  62.944
23.46,-5.63,
0.22,29.9,   0.266
84.6,-69.94, 261.792
234.59,16.18, 327.296
52.27,-53.06,  17.856
191.19,-55.3,
348.66,39.74,
1.03,29.42,  15.808
24.24,-6.5,   2.936
181.88,-61.83,   1.152
55.93,-56.19,
195.88,-50.2, 134.688
198.79,-46.7,  80.000
280.79,49.94,  27.680
30.17,-17.96,
135.17,-72.97,  52.672
216,-17.28,  64.288
53.8,-53.7,  20.288
321.88,50.76,  28.032
353.06,37.17,  36.864
225.18,1.22,   0.303
244.98,30.2, 307.648
196.78,-48.64,  76.032
144.71,-71.95,  46.336
42.98,-40.43,   4.096
216.03,-16.65, 136.064
206.83,-34.01,   0.128
216.61,-15.32,   0.704
352.92,37.67,
